plotID,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,AS20YrARI,P_MDFM,C_MDFM,M_MDFM,P_MDFM,C_MDFM,M_MDFM,P_MinM,C_MinM,M_MinM,P_MaxM,C_MaxM,M_MaxM,MDFMDFSpring,MDFMDFSummer,MDFMDFAutumn,MDFMDFWinter,CVMDFSpring,CVMDFSummer,CVMDFAutumn,CVMDFWinter
1,22.25968361,3.096,5.933,0.475,0.637,0.478,0.000261885,20.296,0.967,1.45,0.492,0.819,1.987576826,0.756340483,0.744,0.959,0.124,0.483,209.9861528,0.139,0.055,0.084,0.133,0.052,0.081,0.109,0.018,0.091,0.495,0.441,0.055,0.624358586,0.906580681,1.554819913,0.9924217,1.262,1.472,1.284,0.965
2,29.81145372,5.146,3.552,0.798,0.785,0.458,0.011290118,17.667,1.103,1.655,0.455,1.101,1.494359315,0.520657723,0.948,1.243,0.215,0.536,208.5875848,0.153,0.076,0.078,0.153,0.076,0.078,0.141,0.046,0.094,0.307,0.251,0.056,1.168813728,0.758638187,0.833207207,1.205614876,2.095,1.552,1.493,1.202
3,24.56407566,5.048,3.588,0.806,0.67,0.717,0.010389458,15.9,1.294,2.1,0.284,0.551,0.966674493,0.336065213,1.147,0.978,0.308,0.413,181.6280339,0.21,0.09,0.119,0.21,0.09,0.119,0.22,0.086,0.133,0.282,0.194,0.088,1.204076542,0.419202888,0.935645526,1.441405218,1.356,1.658,1.145,1.413
4,22.34967317,4.765,3.833,0.744,0.772,0.52,0.001654279,24.909,0.8,2.947,0.999,0.783,1.204441279,0.385090813,1.176,1.464,0.229,0.443,166.3964525,0.132,0.068,0.064,0.135,0.07,0.065,0.111,0.042,0.068,0.274,0.223,0.051,0.586706032,1.113249164,1.191884844,1.039863522,1.594,1.15,1.336,1.562
5,22.84350952,5.373,3.4,0.827,1.065,0.651,0.002364546,26.143,0.733,2.081,1.38,0.481,1.204744745,0.374323151,1.17,1.335,0.274,0.456,202.4580773,0.158,0.091,0.067,0.157,0.095,0.062,0.138,0.066,0.073,0.262,0.212,0.049,0.570429569,1.016669213,1.126509751,1.225764798,1.596,1.238,1.314,1.994
6,18.08030549,5.519,3,0.77,0.654,0.842,0.008084065,20.5,1.067,1.858,0.879,0.884,0.547149488,0.231004714,0.917,0.938,0.334,0.236,126.1955414,0.251,0.11,0.141,0.251,0.11,0.141,0.259,0.112,0.148,0.284,0.192,0.092,0.697236452,0.776634897,1.497579316,0.992972646,1.227,1.366,0.94,1.471
7,5.684781234,3.301,5.593,0.562,0.43,0.619,0.121824329,9.018,2.037,1.404,0.174,0.608,0.400305235,0.191219002,0.43,0.482,0.553,0.137,30.54283835,0.459,0.307,0.153,0.459,0.307,0.153,0.389,0.271,0.118,0.488,0.313,0.175,1.707277587,0.682841893,0.503579349,1.009376291,0.357,0.599,0.639,0.638
8,5.988522342,6.524,2.8,0.842,0.305,0.806,0.125181558,13.725,1.367,1.716,0.148,0.682,0.196552354,0.070785172,0.549,0.42,0.529,0.18,17.93922263,0.463,0.276,0.187,0.452,0.274,0.178,0.389,0.233,0.156,0.502,0.321,0.181,1.710243498,0.598882095,0.336876071,1.328671531,0.535,0.617,0.481,0.456
9,6.482178852,5.768,3.167,0.77,0.399,0.826,0.066841224,13.366,1.433,1.667,0.209,0.556,0.263394803,0.088921878,0.562,0.482,0.483,0.195,19.16928389,0.396,0.191,0.206,0.387,0.188,0.198,0.321,0.169,0.151,0.413,0.236,0.177,1.809299412,0.551372848,0.27508376,1.32382804,0.543,0.672,0.622,0.496
10,5.380620351,5.219,3.5,0.827,0.235,0.517,0.123200653,19.571,0.967,1.741,0.162,0.541,0.248419284,0.088600588,0.537,0.413,0.551,0.171,20.07711304,0.44,0.277,0.163,0.438,0.277,0.161,0.379,0.243,0.136,0.482,0.324,0.159,1.66466832,0.615557663,0.36704808,1.328235389,0.536,0.601,0.482,0.505
11,17.8173898,3.696,4.931,0.82,1.47,0.654,0.018918939,13.675,1.414,1.168,0.312,0.888,0.945507597,0.427625106,1.035,0.956,0.291,0.344,196.0393325,0.182,0.106,0.076,0.182,0.106,0.076,0.158,0.078,0.08,0.247,0.21,0.038,0.709693046,1.358678754,1.245458028,0.728604475,0.987,1.247,1.409,1.048
12,15.817581,3.703,4.933,0.841,1.226,0.738,0.007068894,10.148,1.933,1.394,0.558,0.654,0.977465583,0.465656895,0.987,1.02,0.271,0.411,187.5979706,0.184,0.103,0.081,0.172,0.092,0.08,0.149,0.064,0.085,0.253,0.193,0.06,0.421900961,1.492256112,1.533697781,0.66276258,1.074,1.565,1.336,1.14
13,24.53139717,3.806,4.867,0.727,0.671,0.441,0,61.929,1.1,1.335,0,0.768,1.872240222,0.800661345,0.806,0.973,0.14,0.585,193.6856358,0.229,0.136,0.093,0.229,0.132,0.096,0.2,0.116,0.085,0.503,0.441,0.062,0.188282842,1.426492201,1.816535288,0.636995224,1.848,1.126,1.205,1.216
14,7.381069205,4.281,4.3,0.653,0.516,0.489,0.106671233,14.811,1.267,1.856,0.199,1.213,0.40433721,0.140614516,0.702,0.607,0.5,0.187,21.69610639,0.419,0.247,0.172,0.405,0.237,0.168,0.315,0.175,0.139,0.451,0.31,0.141,1.517976963,0.705686647,0.389314471,1.228491016,0.516,0.874,1.089,0.493
15,21.01450758,4.419,4.133,0.654,0.509,0.38,0,9.2,2.033,2.022,3.317,1.277,0.867569724,0.294919277,1.082,1.189,0.146,0.553,110.016165,0.134,0.052,0.082,0.132,0.052,0.08,0.094,0.012,0.082,0.417,0.378,0.039,0.72206421,0.805099139,1.455423462,1.096621718,1.249,1.508,1.331,1.219
