species,nfixing
Abrophyllum ornans,0
Acacia boormanii,1
Acacia dealbata subsp. dealbata,1
Acacia falciformis,1
Acacia floribunda,1
Acacia implexa,1
Acacia irrorata subsp. irrorata,1
Acacia leiocalyx subsp. leiocalyx,1
Acacia mearnsii,1
Acacia melanoxylon,1
Acacia pravissima,1
Acaena novae-zelandiae,0
Acmena smithii,0
Alphitonia excelsa,0
Anagallis arvensis,0
Angophora subvelutina,0
Astroloma humifusum,0
Backhousia myrtifolia,0
Bedfordia arborescens,0
Beyeria viscosa,0
Bidens pilosa,0
Bidens subalternans,0
Blechnum nudum,0
Bursaria spinosa subsp. lasiophylla,0
Bursaria spinosa subsp. spinosa,0
Callistemon subulatus,0
Calochlaena dubia,0
Carex appressa,0
Carex longebrachiata,0
Carex polyantha,0
Cassinia aculeata,0
Cassinia trinerva,0
Casuarina cunninghamiana,1
Casuarina glauca,1
Centella asiatica,0
Ceratopetalum apetalum,0
Commelina cyanea,0
Commersonia fraseri,0
Conyza parva,0
Coprosma quadrifida,1
Cryptocarya glaucescens,0
Dichondra repens,0
Dodonaea viscosa subsp. cuneata,0
Doodia aspera,0
Doryphora sassafras,0
Duboisia myoporoides,0
Ehrharta erecta,0
Entolasia stricta,0
Eucalyptus amplifolia,0
Eucalyptus camphora subsp. humeana,0
Eucalyptus cypellocarpa,0
Eucalyptus elata,0
Eucalyptus radiata,0
Eucalyptus resinifera,0
Eucalyptus rubida,0
Eucalyptus stellulata,0
Eucalyptus tereticornis,0
Eucalyptus viminalis,0
Glochidion ferdinandi subsp. ferdinandi,0
Grevillea robusta,0
Guioa semiglauca,0
Gymnostachys anceps,0
Hovea asperifolia subsp. asperifolia,1
Imperata cylindrica,0
Lepidosperma laterale,0
Leptospermum brevipes,0
Ligustrum sinense,0
Lomandra hystrix,0
Lomandra longifolia,0
Lomatia myricoides,0
Lophostemon suaveolens,0
Melaleuca quinquenervia,0
Melicytus dentatus,0
Microlaena stipoides,0
Notelaea longifolia,0
Notelaea microcarpa subsp. microcarpa,0
Notelaea microcarpa subsp. velutina,0
Oplismenus aemulus,0
Oplismenus imbecillis,0
Pennisetum clandestinum,0
Pittosporum spinescens,0
Platylobium formosum subsp. formosum,1
Poa labillardierei subsp. labillardierei,0
Poa meionectes,0
Poa sieberiana,0
Pomaderris aspera,0
Prostanthera lasianthos,0
Prunella vulgaris,0
Pultenaea juniperina,1
Ripogonum album,0
Rubus fruticosus agg.,0
Rubus parvifolius,0
Sida rhombifolia,0
Solanum americanum,0
Solanum mauritianum,0
Stellaria flaccida,0
Stephania japonica,0
Syzygium oleosum,0
Tagetes minuta,0
Tradescantia fluminensis,0
Trema tomentosa subsp. aspera,0
Tristaniopsis laurina,0
Urtica incisa,0
Viola hederacea,0
Waterhousea floribunda,0
Xanthium occidentale,0
