"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","leafratio.CWM",0.0260957462979853,0.32641,0.0307488625559525,0.34596
"2","nbsp",0.00349277847632655,0.49356,0.0036671056781298,0.54219
"3","FGR",1.20235196933538e-200,1,1.09240334032672e-186,1
"4","FRic",0.0124089339378329,0.3928,0.0127162151165032,0.44915
"5","CVAnnFFI",0.0557255719190732,0.25346,0.0633156492378798,0.27344
"6","LSMeanDur",0.021515166663948,0.34416,0.0207767480785292,0.41648
"7","MDFMDFNovember",0.00144286636840387,0.55479,0.00197631962369289,0.57031
"8","MDFMDFJuly",0.00613022316698897,0.45078,0.00801444609416861,0.46294
"9","MDFMDFFebruary",0.00805703692029984,0.42889,0.00959679941745745,0.4563
"10","MDFMDFJanuary",0.0365705147617788,0.29457,0.0194687468538107,0.51352
"11","MDFAnnUnder0.1",0.010100859917902,0.41023,0.0133299049749826,0.4146
"12","MDFAnnZer",0.007717166053414,0.43239,0.010492989576613,0.43433
"13","Skw",0.0319185132815986,0.30753,0.0309153494098442,0.38231
