metric,pval.linear,r2.linear,f statistic linear,pval.quad,r2.quad,f statistic quad,p.adj,,,metric,pval,p.adj,r2,"f(1,13)"
CVMDFWinter,0.009625127,0.41425,9.194,0.012791241,0.41781,4.306,0.02781234,,,CVMDFWinter,0.009625127,0.02781234,0.41425,9.194
CVMDFAutumn,0.034225202,0.3009,5.595,0.040557201,0.3145,2.753,0.03857343,,,CVMDFAutumn,0.034225202,0.03857343,0.3009,5.595
CVMDFSummer,0.286664786,0.086725,1.234,0.185833757,0.47162,5.356,0.03246153,,,CVMDFSummer,0.02176,0.03246153,0.4716,5.356
CVMDFSpring,0.025969223,0.32687,6.313,0.031380502,0.33906,3.078,0.03246153,,,CVMDFSpring,0.025969223,0.03246153,0.32687,6.313
MDFMDFWinter,0.088081735,0.20734,3.401,0.094835712,0.2434,1.93,0.07804594,,,MDFMDFWinter,0.088081735,0.07804594,0.20734,3.401
MDFMDFAutumn,0.109117651,0.1854,2.959,0.107799787,0.26339,2.145,0.08614551,,,MDFMDFAutumn,0.109117651,0.08614551,0.1854,2.959
MDFMDFSummer,0.003060679,0.50317,13.17,0.004492039,0.50328,6.079,0.02295509,,,MDFMDFSummer,0.003060679,0.02295509,0.50317,13.17
MDFMDFSpring,0.013393695,0.38623,8.18,0.017346303,0.39065,3.847,0.02781234,,,MDFMDFSpring,0.013393695,0.02781234,0.38623,8.18
M_MaxM,0.025804779,0.32746,6.33,0.032132954,0.33077,2.965,0.03246153,,,M_MaxM,0.025804779,0.03246153,0.32746,6.33
C_MaxM,0.088452064,0.20691,3.392,0.072884438,0.35751,3.339,0.07804594,,,C_MaxM,0.088452064,0.07804594,0.20691,3.392
M_MinM,0.023974235,0.33425,6.527,0.012047481,0.54043,7.056,0.02781234,,,M_MinM,0.009421,0.02781234,0.5404,7.056
C_MinM,0.136126122,0.1626,2.524,0.100458975,0.38389,3.739,0.10209459,,,C_MinM,0.136126122,0.10209459,0.1626,2.524
M_MDFM,0.020857362,0.34698,6.908,0.020752417,0.41198,4.204,0.03246153,,,M_MDFM,0.020857362,0.03246153,0.34698,6.908
C_MDFM,0.108604162,0.18588,2.968,0.081985995,0.38091,3.692,0.08614551,,,C_MDFM,0.108604162,0.08614551,0.18588,2.968
AS20YrARI,0.014833246,0.37735,7.879,0.019423184,0.37738,3.637,0.02781234,,,AS20YrARI,0.014833246,0.02781234,0.37735,7.879
CVAnnMRateFall,0.012875004,0.38963,8.299,0.016543864,0.39651,3.942,0.02781234,,,CVAnnMRateFall,0.012875004,0.02781234,0.38963,8.299
CVAnnMRateRise,0.010989153,0.40314,8.781,0.014661582,0.40381,4.064,0.02781234,,,CVAnnMRateRise,0.010989153,0.02781234,0.40314,8.781
MRateFall,0.157241392,0.14771,2.253,0.128695926,0.33421,3.012,0.10721004,,,MRateFall,0.157241392,0.10721004,0.14771,2.253
MRateRise,0.155629385,0.14878,2.272,0.108724448,0.40542,4.091,0.10721004,,,MRateRise,0.155629385,0.10721004,0.14878,2.272
CVAnnHSPeak,0.001014303,0.57725,17.75,0.001392754,0.59411,8.782,0.01521455,,,CVAnnHSPeak,0.001014303,0.01521455,0.57725,17.75
CVAnnHSNum,0.036001867,0.29607,5.468,0.043165876,0.30476,2.63,0.03857343,,,CVAnnHSNum,0.036001867,0.03857343,0.29607,5.468
MDFAnnHSNum,0.726998403,0.0096955,0.1273,0.713117967,0.17923,1.31,0.47412939,,,MDFAnnHSNum,0.726998403,0.47412939,0.0096955,0.1273
HSPeak,0.064823375,0.23837,4.069,0.066701391,0.2965,2.529,0.06482338,,,HSPeak,0.064823375,0.06482338,0.23837,4.069
